Market_and_Exchange_Names	File
MINI SING FUELOIL 180 CAL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
GRP 3 ULSD VS HEATING OIL SPR - NEW YORK MERCANTILE EXCHANGE	DeaFut
ETHANOL T2 FOB INCL DUTY SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MINI SING 380 FUEL OIL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
1000 CALIFORNIA CARBON ALLOWANCE - ICE FUTURES ENERGY DIV	DeaFut
NATURAL GAS PENULTIMATE ICE - ICE FUTURES ENERGY DIV	DeaFut
ALGONQUIN CITY-GATES FINANCIAL BASIS - ICE FUTURES ENERGY DIV	DeaFut
CHICAGO CITYGATE (INDEX) - ICE FUTURES ENERGY DIV	DeaFut
COLORADO INTERSTATE - MAINLINE (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
COLUMBIA GAS CO. - TCO POOL (APPALACHIA) (BASIS) - ICE FUTURES ENERG	DeaFut
COLUMBIA GULF TRANSMISSION CO. -  MAINLINE POOL - ICE FUTURES ENERGY	DeaFut
DOMINION - SOUTH POINT (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
EL PASO - PERMIAN BASIN (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
EL PASO-SAN JUAN BASIN,BLANCO POOL PRIMARY ONLY-BA - ICE FUTURES ENER	DeaFut
HENRY HUB - TAILGATE, LOUISIANA (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
HENRY HUB - TAILGATE, LOUISIANA (INDEX) - ICE FUTURES ENERGY DIV	DeaFut
HOUSTON SHIP CHANNEL (INDEX) - ICE FUTURES ENERGY DIV	DeaFut
MICHIGAN CONSOLIDATED CITYGATE (GENERIC) (BASIS) - ICE FUTURES ENERG	DeaFut
NATURAL GAS PIPELINE-MID-CONTINENT POOL PIN (BASIS - ICE FUTURES ENER	DeaFut
NATURAL GAS PIPELINE, TEXOK (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
NORTHERN NATURAL GAS - VENTURA (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
NORTHWEST PIPELINE - CANADIAN BORDER (BASIS) - ICE FUTURES ENERGY	DeaFut
NORTHWEST PIPELINE CORP. - ROCKY MOUNTAINS - ICE FUTURES ENERGY D	DeaFut
PACIFIC GAS TRANSMISSION - MALIN (BASIS) - ICE FUTURES ENERGY DI	DeaFut
PANHANDLE EASTERN- POOL GAS (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
SOCAL (INDEX) - ICE FUTURES ENERGY DIV	DeaFut
TEXAS EASTERN- M3 ZONE (DELIVERED) - ICE FUTURES ENERGY DIV	DeaFut
TEXAS EASTERN- M3 ZONE (DELIVERED) (BASIS) - ICE FUTURES ENERGY D	DeaFut
TRANSCO ZONE 6 BASIS - ICE FUTURES ENERGY DIV	DeaFut
TRANSCONTINENTAL GAS- STATION 85 (ZONE 4) - ICE FUTURES ENERGY DI	DeaFut
TRANSCONTINENTAL GAS - ZONE 6 (NY) (BASIS) - ICE FUTURES ENERGY D	DeaFut
WAHA HUB - WEST TEXAS DELIVERED/BUYER'S INDEX - ICE FUTURES ENERGY	DeaFut
SP15 FIN DA PEAK FIXED - ICE FUTURES ENERGY DIV	DeaFut
SP15 FIN DA LPM OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
AEP DAYTON HUB (REAL TIME LMP OFF-PEAK) - ICE FUTURES ENERGY DIV	DeaFut
AEP DAYTON HUB (REAL TIME LMP) - ICE FUTURES ENERGY DIV	DeaFut
AD HUB DA OFF-PEAK MONTHLY - ICE FUTURES ENERGY DIV	DeaFut
AD HUB DA PEAK MONTHLY - ICE FUTURES ENERGY DIV	DeaFut
CIN HUB DA OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
CIN HUB REAL TIME OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
ERCOT - NORTH ZONE - ICE FUTURES ENERGY DIV	DeaFut
MISCO CINERGY DAY AHEAD LMP, PEAK MONTHLY - ICE FUTURES ENERGY DI	DeaFut
MISCO CINERGY HUB REAL TIME PEAK - ICE FUTURES ENERGY DIV	DeaFut
MISO CINERGY HUB (REAL-TIME LMP) - ICE FUTURES ENERGY DIV	DeaFut
Nepool MH DA LMP Offpk Mon Min - ICE FUTURES ENERGY DIV	DeaFut
Nepool MH DA LMP Peak Mon Mini - ICE FUTURES ENERGY DIV	DeaFut
N. ILLINOIS HUB DAY AHEAD LMP, OFF PEAK MONTHLY - ICE FUTURES ENERGY	DeaFut
N. ILLINOIS HUB DAY AHEAD LMP, PEAK MONTHLY - ICE FUTURES ENERGY D	DeaFut
NEPOOL MASS HUB (DAY-AHEAD LMP OFF-PEAK) - ICE FUTURES ENERGY DI	DeaFut
NEPOOL MASS HUB (DAY-AHEAD LMP) - ICE FUTURES ENERGY DIV	DeaFut
N PATH 15 EZ GEN HUB DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
NPATH 15 EZ GEN HUB DA OFFPEAK - ICE FUTURES ENERGY DIV	DeaFut
NORTHERN ILLINOIS HUB (REAL TIME LMP OFF-PEAK) - ICE FUTURES ENERGY	DeaFut
NORTHERN ILLINOIS HUB (REAL TIME LMP) - ICE FUTURES ENERGY DIV	DeaFut
NYISO  ZONE  J  (OFF-PEAK) - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE  A - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE  A  (OFF-PEAK) - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE  G - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE  G  (OFF-PEAK) - ICE FUTURES ENERGY DIV	DeaFut
PALO VERDE - ICE FUTURES ENERGY DIV	DeaFut
PALO VERDE (OFF-PEAK) - ICE FUTURES ENERGY DIV	DeaFut
PJM BGE ZONE DAY AHEAD OFF PEAK MONTHLY - ICE FUTURES ENERGY DIV	DeaFut
PJM BGE ZONE DAY AHEAD, PEAK MONTHLY - ICE FUTURES ENERGY DIV	DeaFut
PJM EASTERN HUB DAY-AHEAD - ICE FUTURES ENERGY DIV	DeaFut
PJM JCPL ZONE DAY-AHEAD - ICE FUTURES ENERGY DIV	DeaFut
PJM JCPL ZONE DAY-AHEAD OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM PECO ZONE (DA LMP) PEAK MONTHLY - ICE FUTURES ENERGY DIV	DeaFut
PJM PEPCO DAY-AHEAD - ICE FUTURES ENERGY DIV	DeaFut
PJM PEPCO DAY-AHEAD OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM PPL ZONE DAY AHEAD, OFF-PEAK MONTHLY - ICE FUTURES ENERGY DI	DeaFut
PJM PPL ZONE DAY AHEAD, PEAK MONTHLY - ICE FUTURES ENERGY DIV	DeaFut
PJM WESTERN HUB (DAY-AHEAD OFF PEAK) - ICE FUTURES ENERGY DIV	DeaFut
PJM WESTERN HUB (DAY-AHEAD) - ICE FUTURES ENERGY DIV	DeaFut
PJM WESTERN HUB MINI (REAL TIME LMP) - ICE FUTURES ENERGY DIV	DeaFut
PJM WH REAL TIME MINI OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
PSA-PJM PSEG ZONE DAY-AHEAD - ICE FUTURES ENERGY DIV	DeaFut
PSB-PJM PSEG ZONE DAY-AHEAD OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
NORTH ILL CAL MONTH LMP OPT - NEW YORK MERCANTILE EXCHANGE	DeaFut
AEP DAYTON PEAKCAL MONTH LMP 5 - NEW YORK MERCANTILE EXCHANGE	DeaFut
PANHANDLE EASTERN- POOL GAS (INDEX) - ICE FUTURES ENERGY DIV	DeaFut
MW CINRGY 5 OFF PEAK REAL-TIME - NEW YORK MERCANTILE EXCHANGE	DeaFut
CALIF CARBON ALLOWANCE-2013 - ICE FUTURES ENERGY DIV	DeaFut
ERCOT - NORTH MONTHLY OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE J5 MW OFF PEAK SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PG&E - CITYGATE (INDEX) - ICE FUTURES ENERGY DIV	DeaFut
NATURAL GAS INDEX: ALGONQUIN CITY GATES - ICE FUTURES ENERGY DIV	DeaFut
MT BELV NORM BUT LDH OPIS SWP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM WH REAL TIME PEAK - ICE FUTURES ENERGY DIV	DeaFut
MID-C FINANCIAL PEAK - ICE FUTURES ENERGY DIV	DeaFut
MID-C FINANCIAL OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM WH OFF PEAK REAL TIME - ICE FUTURES ENERGY DIV	DeaFut
PJM PECO ZONE OFF-PEAK MONTHLY - ICE FUTURES ENERGY DIV	DeaFut
PJM WESTERN HUB REAL 50MW OFF - NEW YORK MERCANTILE EXCHANGE	DeaFut
SONAT - TIER 1 POOL (ZONE 0) - ICE FUTURES ENERGY DIV	DeaFut
NYISO  ZONE  J - ICE FUTURES ENERGY DIV	DeaFut
NORTHERN NATURAL GAS - DEMARCATION POOL (BASIS) - ICE FUTURES ENERGY	DeaFut
DOMINION - SOUTH POINT - ICE FUTURES ENERGY DIV	DeaFut
TRANSCONTINENTAL GAS PIPELINE CORP. - ZONE 6 (NY) - ICE FUTURES ENERG	DeaFut
MINI EUROBOB GAS OXY NWE - NEW YORK MERCANTILE EXCHANGE	DeaFut
#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE	DeaFut
TENNESSEE GAS PIPELINE CO. - ZONE L, 500 LEG POOL - ICE FUTURES ENERG	DeaFut
NON FAT DRY MILK - CHICAGO MERCANTILE EXCHANGE	DeaFut
CAISO SP15 FIN DA OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM AEP DAYTON RT OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM AEP DAYTON DAY-AHEAD PEAK - ICE FUTURES ENERGY DIV	DeaFut
MISO INDIANA  OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
MISO IN. REAL-TIME OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
MISO IN. DAY-AHEAD PEAK - ICE FUTURES ENERGY DIV	DeaFut
MISO IN. RT PEAK MINI - ICE FUTURES ENERGY DIV	DeaFut
ISO NE MASS PEAK MINI - ICE FUTURES ENERGY DIV	DeaFut
PJM NI DAY AHEAD PEAK - ICE FUTURES ENERGY DIV	DeaFut
ISO NE MASS DAY-AHEAD OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
CAISO NP-15 PEAK - ICE FUTURES ENERGY DIV	DeaFut
CAISO NP-15 OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM NI REAL-TIME OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM PSEG DAY-AHEAD PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM PSEG ZONE DAY-AHEAD OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE A DAY AHEAD PEAK MI - ICE FUTURES ENERGY DIV	DeaFut
MISO.INDIANA.HUB_month_on_dap - NODAL EXCHANGE	DeaFut
MISO.INDIANA.HUB_month_off_dap - NODAL EXCHANGE	DeaFut
NYISO ZONE G DAY AHEAD PEAK MI - ICE FUTURES ENERGY DIV	DeaFut
PJM.AEP-DAYTON HUB_month_on_dap - NODAL EXCHANGE	DeaFut
PJM.AEP-DAYTON HUB_month_off_dap - NODAL EXCHANGE	DeaFut
WHEAT-SRW - CHICAGO BOARD OF TRADE	DeaFut
WHEAT-HRW - CHICAGO BOARD OF TRADE	DeaFut
ISO NEW ENGLAND CT DA LMP PEAK MONTHLY - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE G DAY AHEAD OFFPEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM.BGE_month_on_dap - NODAL EXCHANGE	DeaFut
PJM.EASTERN HUB_month_on_dap - NODAL EXCHANGE	DeaFut
PJM.PSEG_month_on_dap - NODAL EXCHANGE	DeaFut
PJM.PSEG_month_off_dap - NODAL EXCHANGE	DeaFut
PJM.AEP-DAYTON HUB_month_off_rtp - NODAL EXCHANGE	DeaFut
PJM.N ILLINOIS HUB_month_on_rtp - NODAL EXCHANGE	DeaFut
PJM.N ILLINOIS HUB_month_off_rtp - NODAL EXCHANGE	DeaFut
PJM.WESTERN HUB_month_off_rtp - NODAL EXCHANGE	DeaFut
PJM.ATSI_month_on_dap - NODAL EXCHANGE	DeaFut
EL PASO - PERMIAN BASIN (INDEX) - ICE FUTURES ENERGY DIV	DeaFut
PROPANE NON-LDH MT BEL SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM.N ILLINOIS HUB_month_on_dap - NODAL EXCHANGE	DeaFut
PJM.N ILLINOIS HUB_month_off_dap - NODAL EXCHANGE	DeaFut
PJM.PEPCO_month_on_dap - NODAL EXCHANGE	DeaFut
PJM.WESTERN HUB_month_on_dap - NODAL EXCHANGE	DeaFut
PJM.WESTERN HUB_month_off_dap - NODAL EXCHANGE	DeaFut
PJM.AEP-DAYTON HUB_month_on_rtp - NODAL EXCHANGE	DeaFut
PJM.WESTERN HUB_month_on_rtp - NODAL EXCHANGE	DeaFut
AD HUB DA PEAK DAILY - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE A DAY AHEAD OFFPEAK - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE J DAY AHEAD PEAK MI - ICE FUTURES ENERGY DIV	DeaFut
PJM.ATSI_month_off_dap - NODAL EXCHANGE	DeaFut
PJM.PEPCO_month_off_dap - NODAL EXCHANGE	DeaFut
ISO NEW ENGLAND CT DA LMP OFF-PEAK MONTHLY - ICE FUTURES ENERGY D	DeaFut
NYISO ZONE J DAY AHEAD OFFPEAK - ICE FUTURES ENERGY DIV	DeaFut
CALIFORNIA CARBON ALLOWANCE VINTAGE 2014 - ICE FUTURES ENERGY DI	DeaFut
IRON ORE 62% FE, CFR CHINA TSI - NEW YORK MERCANTILE EXCHANGE	DeaFut
CALIF CARBON ALL VINTAGE 2016 - ICE FUTURES ENERGY DIV	DeaFut
RGGI VINTAGE 2014 - ICE FUTURES ENERGY DIV	DeaFut
WHEAT-HRSpring - MINNEAPOLIS GRAIN EXCHANGE	DeaFut
PJM.BGE_month_off_dap - NODAL EXCHANGE	DeaFut
CRUDE OIL, LIGHT SWEET-WTI - ICE FUTURES EUROPE	DeaFut
WTI-BRENT CALENDAR SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM JCPL ZONE DAY-AHEAD PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM PECO ZONE (DA LMP) PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM.JCPL_month_on_dap - NODAL EXCHANGE	DeaFut
PJM WESTERN HUB RT OFF - ICE FUTURES ENERGY DIV	DeaFut
PJM WESTERN HUB RT OFF 5 MW - NEW YORK MERCANTILE EXCHANGE	DeaFut
GULF COAST ULSD PLATT CRACK - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM WESTERN HUB RT PEAK 2.5MW - NEW YORK MERCANTILE EXCHANGE	DeaFut
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE	DeaFut
MID-C DAY-AHEAD PEAK - ICE FUTURES ENERGY DIV	DeaFut
MID-C DAY-AHEAD OFF-PEAK - ICE FUTURES ENERGY DIV	DeaFut
MINI EUROPE NAPHTHA BALMO SWAP - NEW YORK MERCANTILE EXCHANGE	DeaFut
MSCI EAFE MINI INDEX - ICE FUTURES U.S.	DeaFut
MSCI EMERGING MKTS MINI INDEX - ICE FUTURES U.S.	DeaFut
PJM WESTERN HUB DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM AEP DAYTON REAL PEAK-MINI - ICE FUTURES ENERGY DIV	DeaFut
MISO.INDIANA.HUB_month_on_rtp - NODAL EXCHANGE	DeaFut
AEP DAYTON REALTIME OFFPEAK-MI - ICE FUTURES ENERGY DIV	DeaFut
OMAN CRUDE OIL - DUBAI MERCANTILE EXCHANGE	DeaFut
PJM NI HUB REALTIME PEAK-MINI - ICE FUTURES ENERGY DIV	DeaFut
ISONE..H.INTERNAL_HUB_month_off_dap - NODAL EXCHANGE	DeaFut
PJM AEP DAYTON RT OFF-PK - ICE FUTURES ENERGY DIV	DeaFut
PJM AEP DAYTON HUB RT PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM AEP DAYTON HUB DA OFF-PK - ICE FUTURES ENERGY DIV	DeaFut
PJM AEP DAYTON DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
ERCOT NORTH 345KV RT PEAK - ICE FUTURES ENERGY DIV	DeaFut
MISO INDIANA HUB RT PEAK MINI - ICE FUTURES ENERGY DIV	DeaFut
MISO INDIANA HUB RT PEAK - ICE FUTURES ENERGY DIV	DeaFut
ISO NE MASS DA OFF-PK MINI - ICE FUTURES ENERGY DIV	DeaFut
ISO NE MASS DA PEAK MINI - ICE FUTURES ENERGY DIV	DeaFut
PJM N. IL HUB DA OFF-PK - ICE FUTURES ENERGY DIV	DeaFut
PJM N. IL HUB DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
ISO NE MASS HUB DA OFF-PK - ICE FUTURES ENERGY DIV	DeaFut
ISO NE MASS HUB DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM NI HUB RT OFF-PK - ICE FUTURES ENERGY DIV	DeaFut
PJM N. IL HUB RT PEAK - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE J DA OFF-PK - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE A DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE A DA OFF-PK - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE G DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE G DA OFF-PK - ICE FUTURES ENERGY DIV	DeaFut
PALO VERDE DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
PALO VERDE DA OFF-PK - ICE FUTURES ENERGY DIV	DeaFut
PJM PECO ZONE DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM PEPCO DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM PPL ZONE DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM WESTERN HUB DA OFF-PK - ICE FUTURES ENERGY DIV	DeaFut
PJM WESTERN HUB RT PEAK MINI - ICE FUTURES ENERGY DIV	DeaFut
PJM WESTERN HUB RT OFF-PK MINI - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE J DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE C DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
ERCOT NORTH 345KV DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
FUEL OIL-380cst SING/3.5% RDAM - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM NI HUB REALTM OFFPEAK-MINI - ICE FUTURES ENERGY DIV	DeaFut
COLUMBIA GAS CO. - TCO POOL (APPALACHIA) (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
COLUMBIA GULF TRANSMISSION CO. -  MAINLINE POOL - ICE FUTURES ENERGY DIV	DeaFut
EL PASO-SAN JUAN BASIN,BLANCO POOL PRIMARY ONLY-BA - ICE FUTURES ENERGY DIV	DeaFut
MICHIGAN CONSOLIDATED CITYGATE (GENERIC) (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
NATURAL GAS PIPELINE-MID-CONTINENT POOL PIN (BASIS - ICE FUTURES ENERGY DIV	DeaFut
NORTHWEST PIPELINE CORP. - ROCKY MOUNTAINS - ICE FUTURES ENERGY DIV	DeaFut
PACIFIC GAS TRANSMISSION - MALIN (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
TEXAS EASTERN- M3 ZONE (DELIVERED) (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
TRANSCONTINENTAL GAS- STATION 85 (ZONE 4) - ICE FUTURES ENERGY DIV	DeaFut
TRANSCONTINENTAL GAS - ZONE 6 (NY) (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
PJM PPL ZONE DAY AHEAD, OFF-PEAK MONTHLY - ICE FUTURES ENERGY DIV	DeaFut
NORTHWEST PIPELINE - CANADIAN BORDER (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
CALIFORNIA CARBON ALLOWANCE VINTAGE 2015 - ICE FUTURES ENERGY DIV	DeaFut
WAHA HUB - WEST TEXAS DELIVERED/BUYER'S INDEX - ICE FUTURES ENERGY DIV	DeaFut
PJM.PECO_month_on_dap - NODAL EXCHANGE	DeaFut
RGGI VINTAGE 2015 - ICE FUTURES ENERGY DIV	DeaFut
3.5% FUEL OIL RDAM V. FOB MED - NEW YORK MERCANTILE EXCHANGE	DeaFut
PJM.PECO_month_off_dap - NODAL EXCHANGE	DeaFut
PJM ATSI DA PEAK FIXED - ICE FUTURES ENERGY DIV	DeaFut
MISO IN. REALTIME OFFPEAK-MINI - ICE FUTURES ENERGY DIV	DeaFut
TETCO M2 Basis (Receipts) - ICE FUTURES ENERGY DIV	DeaFut
EL PASO-SAN JUAN BASIN,BLANCO POOL PRIMARY ONLY-BASIS - ICE FUTURES ENERGY D	DeaFut
NATURAL GAS PIPELINE-MID-CONTINENT POOL PIN (BASIS) - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE G 5 MW PEAK - NEW YORK MERCANTILE EXCHANGE	DeaFut
NYISO ZONE G 5 MW OFF PEAK - NEW YORK MERCANTILE EXCHANGE	DeaFut
HHUB NAT GAS PENULT FINL-10000 - NASDAQ FUTURES	DeaFut
ALUMINUM MW US TR PLATTS SWAP - COMMODITY EXCHANGE INC.	DeaFut
PJM AEP DAYTON RT PEAK FIXED - ICE FUTURES ENERGY DIV	DeaFut
ERCOT NORTH 345KV RT PK FIX - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE F PEAK MONTHLY - ICE FUTURES ENERGY DIV	DeaFut
PJM WESTERN HUB REAL OFF DAY 5 - NEW YORK MERCANTILE EXCHANGE	DeaFut
CALIF CARBON ALL VINTAGE 2017 - ICE FUTURES ENERGY DIV	DeaFut
PJM.PPL_month_on_dap - NODAL EXCHANGE	DeaFut
NYISO ZONE F DA OFFPEAK - ICE FUTURES ENERGY DIV	DeaFut
PJM COMED ZONE DAY AHEAD LMP PEAK MONTHLY - ICE FUTURES ENERGY DIV	DeaFut
PJM.PPL_month_off_dap - NODAL EXCHANGE	DeaFut
PJM RT PEAK CAL 1X - ICE FUTURES ENERGY DIV	DeaFut
RGGI VINTAGE 2016 - ICE FUTURES ENERGY DIV	DeaFut
UP DOWN GC ULSD VS HO SPR - NEW YORK MERCANTILE EXCHANGE	DeaFut
MT BELVIEU LDH PROPANE (OPIS) - NEW YORK MERCANTILE EXCHANGE	DeaFut
MT BELV NORM BUTANE OPIS - NEW YORK MERCANTILE EXCHANGE	DeaFut
CONWAY PROPANE (OPIS) - NEW YORK MERCANTILE EXCHANGE	DeaFut
RBOB UP-DOWN CAL - NEW YORK MERCANTILE EXCHANGE	DeaFut
NJ SRECS VINTAGE 2018 - ICE FUTURES ENERGY DIV	DeaFut
PJM TRI-RECs CLASS 1 Vin 2018 - ICE FUTURES ENERGY DIV	DeaFut
NJ SRECS VINTAGE 2017 - ICE FUTURES ENERGY DIV	DeaFut
PJM TRI-RECs CLASS 1 Vin 2017 - ICE FUTURES ENERGY DIV	DeaFut
NJ SRECS VINTAGE 2019 - ICE FUTURES ENERGY DIV	DeaFut
MT BELVIEU ETHANE OPIS - NEW YORK MERCANTILE EXCHANGE	DeaFut
RTD 3.5% FUEL OIL CRK SPD SWP - NEW YORK MERCANTILE EXCHANGE	DeaFut
HHUB NAT GAS PENULT FINL-2500 - NASDAQ FUTURES	DeaFut
ULTRA 10-YEAR U.S. T-NOTES - CHICAGO BOARD OF TRADE	DeaFut
GULF COAST UNL 87 GAS M2 PL RB - NEW YORK MERCANTILE EXCHANGE	DeaFut
NJ SRECS VINTAGE 2016 - ICE FUTURES ENERGY DIV	DeaFut
ISO NE CONN DA PEAK - ICE FUTURES ENERGY DIV	DeaFut
NYISO ZONE C DA OFF-PK - ICE FUTURES ENERGY DIV	DeaFut
ULTRA U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE	DeaFut
ARGUS PROPANE FAR EAST INDEX - NEW YORK MERCANTILE EXCHANGE	DeaFut
BLOOMBERG COMMODITY INDEX - CHICAGO BOARD OF TRADE	DeaFut
MINI EUR 3.5%FOIL RTD BALMOSWP - NEW YORK MERCANTILE EXCHANGE	DeaFut
ERCOT NORTH 345KV REAL-TIME PK - ICE FUTURES ENERGY DIV	DeaFut
PJM TRI-RECs CLASS 1 Vin 2019 - ICE FUTURES ENERGY DIV	DeaFut
NJ SRECS VINTAGE 2020 - ICE FUTURES ENERGY DIV	DeaFut
HENRY HUB NAT GAS FINL-10000 - NASDAQ FUTURES	DeaFut
ISONE..H.INTERNAL_HUB_month_on_dap - NODAL EXCHANGE	DeaFut
NYISO.HUD VL_month_on_dap - NODAL EXCHANGE	DeaFut
RUSSELL 1000 VALUE INDEX MINI - ICE FUTURES U.S.	DeaFut
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	FinFut
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	FinFut
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE	FinFut
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE	FinFut
EURO FX - CHICAGO MERCANTILE EXCHANGE	FinFut
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	FinFut
EURO FX/JAPANESE YEN - SMALL - ICE FUTURES U.S.	FinFut
EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE	FinFut
EURO FX/BRITISH POUND - SMALL - ICE FUTURES U.S.	FinFut
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE	FinFut
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE	FinFut
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE	FinFut
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE	FinFut
SOUTH AFRICAN RAND - CHICAGO MERCANTILE EXCHANGE	FinFut
DJIA Consolidated - CHICAGO BOARD OF TRADE	FinFut
DOW JONES INDUSTRIAL AVERAGE - CHICAGO BOARD OF TRADE	FinFut
DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE	FinFut
S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE	FinFut
S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE	FinFut
E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE	FinFut
NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE	FinFut
NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE	FinFut
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE	FinFut
Russell 2000 Stock Index Future - Chicago Mercantile Exchange	FinFut
Russell 2000 Stock Index (Mini) - Chicago Mercantile Exchange	FinFut
RUSSEL 1000 MINI INDEX FUTURE - ICE FUTURES U.S.	FinFut
Russell 2000 Stock Index - ICE Futures U.S.	FinFut
RUSSELL 2000 MINI INDEX FUTURE - ICE FUTURES U.S.	FinFut
NIKKEI STOCK AVERAGE - CHICAGO MERCANTILE EXCHANGE	FinFut
NIKKEI STOCK AVERAGE YEN DENOM - CHICAGO MERCANTILE EXCHANGE	FinFut
MSCI EAFE MINI INDEX - ICE FUTURES U.S.	FinFut
MSCI EAFE MINI INDEX - NYSE LIFFE	FinFut
