Trade_Date;CALL USDJPY;PUT USDJPY;CALL AUDUSD;PUT AUDUSD;CALL EURUSD;PUT EURUSD;CALL USDCAD;PUT USDCAD;CALL GBPUSD;PUT GBPUSD;CALL NZDUSD;PUT NZDUSD;CALL USDCHF;PUT USDCHF;CALL XAUUSD;PUT XAUUSD
29.05.2006;1398.07;1534.24;1086.18;1335.85;1294.3;1284.19;1189.26;1221.49;2243.59;2265.65;1000.96;1149.42;1360.71;1275.08;240.48;225.42
05.06.2006;-7019.84;1503.74;1503.01;1297.77;-13320.45;1279.99;1088.53;1112.46;2188.89;-9138.2;1046.34;1191.6;-7897.98;1505.7;227.19;-1038.61
12.06.2006;895.06;1304.41;-510.69;1108.61;1237.56;1190.41;-7468.44;1111.85;2084.3;2051;907.72;-2112.65;1304.2;1306.91;215.46;-1764.86
19.06.2006;976.85;1083.04;1381.83;1215.22;1001.83;1001.99;1060.54;1008.98;1642.78;-1107.83;1072.04;-750.11;1143.21;1169.42;201.55;187.72
26.06.2006;1144.65;-503.17;1485.99;-253.56;1184.28;-5177.25;1471.23;1416.54;558.13;1765.66;1030.48;1189;1213.95;-2119.9;-1246.77;194.37
03.07.2006;1128.98;1283.8;1347.16;1175.94;1181.31;1190.05;689.62;1147.25;1882.88;1970.59;997.51;1133.34;1201.06;1261.63;222.68;207.41
10.07.2006;-14171.45;1314.62;1227.03;1085.12;-7225.76;988.79;383.32;1137.87;1602.93;-5277.89;-1323.12;1157.14;-4128.4;1109.7;231.71;217.2
17.07.2006;1054.84;1111.18;1162.78;1019.65;1040.17;1035.15;1173.88;1101.42;-14312.87;1788.75;835.02;955.91;1060.47;1088.27;238.76;-440.66
24.07.2006;945.82;-5818.36;1013.85;-5911.61;925.67;-568;1083.62;1010.37;863.18;1638.94;744.29;860.41;889.04;-478.91;228.41;214.1
31.07.2006;1265.86;1423.17;1154.98;1056.58;1124.07;1116.16;1131.02;733.38;-19207.96;1975.23;829.5;929.66;1096.66;1151.6;222.6;204.55
07.08.2006;-3110.08;1236.99;1204.23;1070.59;440.98;1120.18;1101.69;1097.46;2010.62;603.24;848.84;949.54;-2886.48;1163.04;223.96;-91.42
14.08.2006;931.71;1034.85;1214.95;1112.08;1056.01;-2955.6;1136.79;1134.19;1931.6;1929.77;-3512.56;927.81;1024.78;-2522.13;216.38;199.24
21.08.2006;-3206.71;1034.52;1090.31;965.55;535.5;978.63;1045.2;1042.76;1732.84;1647.45;751.68;845.2;-975.2;990.71;216.86;199.69
28.08.2006;984.49;1094.53;1134.21;-4198.33;1248.41;1210.63;911.5;904.01;1872.4;1910.66;-5215.81;932.07;1179.07;1221.06;156.03;136.54
04.09.2006;-5173.18;998.54;-14484.43;1043.09;-3860.26;887.65;-2539.71;997.82;1698.87;-23453.46;812.23;-3106.27;-3485.23;1066.31;161.79;-1858.18
11.09.2006;943.98;1077.68;1216.68;1088.11;1036.2;999.59;964.92;946.6;1504.18;1540.61;-15822.58;1059.17;983.22;1001.15;152.83;125.72
18.09.2006;902.85;-305.46;1098.39;978.25;907.77;887.11;885.3;885.11;-2860.66;1455.2;1029.72;1140.63;1023.23;1051.96;152.23;125.11
25.09.2006;-742.11;1038.71;1018.6;911.3;797.69;804.91;885.41;884.22;1341.53;1322.33;1049.27;428.46;928.7;983.35;152.93;126.12
02.10.2006;-4769.15;952.51;1179.26;1057.92;-3423.51;796.52;1038.04;1036.85;1484.18;-3963.18;1082.4;1225.36;-5871.06;935.37;154.37;-413.71
09.10.2006;813.13;977.1;977.56;-3535.79;809.47;811.19;-2748.39;902.45;1395.81;1365.03;912.07;1031.77;905.74;935.39;110.53;123.05
16.10.2006;815.28;854.37;910.05;821.66;903.47;828.88;963.27;884.48;1359.98;1393.9;965.76;1087.52;884.88;880.81;154.46;127.04
23.10.2006;943.76;-5384.2;888.74;-7906.59;729.62;-5485.33;835.29;771.68;-13023.42;1496.52;931.99;1032.79;788.41;-4596.35;-197.43;124.03
30.10.2006;863.23;1017.08;875.27;774.99;653.8;674.02;807.04;773.6;1283.56;1261.57;723.3;825.74;881.69;869.77;-71.76;101.12
06.11.2006;680.49;824.22;-2361.18;962.44;565.59;607.14;736.96;629.71;1276.89;1238.96;732.3;-1687.45;727.28;199.11;152.04;123.51
13.11.2006;817.59;921.02;1021.25;-1741.53;688.07;769.54;552.13;678.72;1490.7;1319.32;-3604.53;821.93;900.39;1012.19;152.62;124.01
20.11.2006;581.86;-7439.34;790.14;-2389.36;681.9;-16992.44;562.92;-4832.01;-26593.59;1162.41;847.03;950.6;734.17;-21291.92;-220.36;66.74
27.11.2006;897.81;1118.12;934.39;-5315.23;945.48;-4110.31;852.73;796.15;-22681.34;1696.07;-15329.27;678.07;1193.58;1346.06;100.01;68.6
04.12.2006;-4828.39;1282.74;1018.36;909.15;1253.75;1367.08;828.84;771.05;2256.06;-2312.28;912.68;1022.53;1230.79;1375.68;100.9;-469.61
11.12.2006;414.48;1419.06;1154.56;1050.67;167.79;1314.15;962.91;893.52;2648.83;2468.42;889.39;998.35;-3745.05;1330.36;102.97;-301.14
18.12.2006;780.96;933.18;1284.88;1181.4;986.71;938.07;1058.8;991.64;1625.38;1552.81;-2212.46;861.28;986.07;1008.03;87.09;57.07
25.12.2006;732.98;851.86;729.64;114.73;780.54;795.01;850.2;801.09;1514.4;1438.68;718.9;837.47;884.38;979.4;-179.54;51.06
01.01.2007;629.43;787.94;-3145.53;701.48;-4618.49;871.17;916.67;998.87;1573.48;-5065.37;760.21;-6327.82;-5125.87;1007.05;90.01;-1670.93
08.01.2007;-5763.92;1075.17;920.08;827.18;720.71;733.3;1156.61;1148.11;-9456.67;1485.95;484.64;957.95;-1100.66;918.24;44.29;113.35
15.01.2007;-1847.16;1123.87;951.5;859.17;919.7;922.87;-3367.13;804.19;1691.48;1651.62;876;948.06;914.51;974.43;137.54;106.68
22.01.2007;726.17;779.87;-10364.94;824.96;769.58;780.3;862.85;820.61;1777.52;1548.04;839.32;932.7;725.07;788.95;139;107.83
29.01.2007;868.19;44.17;1027.09;904.53;886.03;886.58;999.54;989.64;1704.77;1637.12;676.26;-2629.87;843.39;902.74;146.19;114.45
05.02.2007;-3383.15;1055.28;740.08;627.29;629.28;653.28;573.65;602.48;1223.57;1303.18;721.16;857.08;712.47;758.8;142.36;110.34
12.02.2007;1166.92;-6423.29;965.12;-10479.58;679.86;-6154.41;879.25;-627.03;1614.82;1554.32;-9420.27;974.93;760.54;-7239.47;144.97;112.66
19.02.2007;-327.31;1168.01;803.29;-905.22;634.99;654.11;766.15;792.07;1632.91;1573.74;-950.45;841.19;575.7;595.83;147.35;114.03
26.02.2007;815.29;-29828.2;-17152.22;731.85;351.44;720.26;-9166.61;779.9;1476.29;-23303.7;688.82;-25268.54;767.11;788.24;159.15;-3500.71
05.03.2007;-5226.76;1376.09;1217.01;-4285.96;994.02;995.54;899.54;-1379.03;1843.79;1866.92;-5251.49;1431.1;1197.32;1225.62;146.22;116.09
12.03.2007;1222.4;1451.12;992.43;-7738.29;844.68;-192.16;879.38;920.83;1564.16;1581.63;759.67;883.91;855.92;-625.93;160.31;129.84
19.03.2007;1136.1;1451.59;1247.8;854.62;826.83;896.53;789.06;-5010.44;-4397.48;1800.84;-4170.01;993.77;1074.31;1132.1;146.73;115.33
26.03.2007;979.48;1222.12;1116.78;271.76;689.59;756.8;904.65;948.97;1624.18;1618.65;938.93;1029.08;888.48;931.68;150.78;118.11
02.04.2007;-1063.49;1510.79;1278.44;1142.12;694.96;764.21;651.24;659.53;1678.46;1010.24;885.38;984.76;873.13;946.76;113.15;81.19
09.04.2007;1053.97;1305.77;1275.37;-9109.57;626.23;-5505.64;680.01;-10152.66;-10010.45;1626.85;-10447.27;935.61;844.54;-432.56;-169.29;97.7
16.04.2007;850.9;1120.26;1130.6;1061.55;649.1;735.11;903.65;935.57;1650.7;1465.05;1166.45;1254.89;747.49;844.57;162.07;127.92
23.04.2007;1039.69;1352.41;1209.53;1047.64;664.34;740.06;848.5;-2154.88;1861.75;1833.97;1143.6;1266.98;610.8;689.78;161.86;127.69
30.04.2007;986.61;1258.98;1265.58;1154.67;762.13;813.79;839.63;876.68;1398.81;1376.19;1078.18;1205;771.64;895.32;128.87;94.29
07.05.2007;788.1;1051.25;1018.12;-800.68;718.41;737.54;885.73;929.85;1432.81;1383.71;912.42;1017.41;851.18;938.85;109.05;-757.37
14.05.2007;-2727.41;1126.08;-5749.51;1035.75;-852.58;617.36;889.71;-9590.63;1193.57;1306.04;875.17;966.86;-1971.48;813.89;121.73;88.43
21.05.2007;643.96;917.13;922.22;840.75;641.97;581.97;834.16;888.52;979.3;1098.38;620.55;713.38;689.08;685.18;105.77;72.33
28.05.2007;630;900.79;931.24;-7541.17;679.62;649.82;791.67;-12466.04;1007.11;996.71;-12072.74;934.31;663.4;697.28;-171.33;71.56
04.06.2007;669.55;889.04;937.94;54.19;-4532.81;548.81;948.37;1019.19;1415.37;-10803.26;865.86;946.15;-5403.72;649.72;101.92;-1016.92
11.06.2007;-7649.29;1185.01;1070.1;976.62;788.54;737.71;-2613.11;1139.47;1349.06;1617.34;916.1;1016.61;707.44;731.29;104.4;71.12
18.06.2007;672.39;861.78;1018.4;879.49;687.33;633.14;1086.54;1124.14;-3186.65;1081.15;-3868.65;1072.63;640.74;-3552.35;114.45;81.58
25.06.2007;864.49;999.56;1133.43;-1554.46;620.77;-2956.48;940.79;-1359.13;-2577.62;819.23;-4625.67;957.53;579.75;-5297.52;110.96;103.86
02.07.2007;357.08;1214.33;1158.95;1061.96;737.62;720.67;1219.76;1292.74;1525.81;1488.36;983.12;1091.52;652.84;705.25;103.59;93.77
09.07.2007;733.85;-2866.62;1100.51;-6422.65;784.03;-5493.12;1010.73;1084.74;-9885.89;1201.09;-1175.78;1074.15;611.68;-4435.22;103.92;94.38
16.07.2007;819.68;1069.99;1138.02;-3473.69;729.56;806.11;992.1;1066.81;-6521.58;1255.78;943.99;1052.35;756.01;910.6;-628.09;94.84
23.07.2007;905.87;-8488.39;-24075.84;981.76;-2918.93;661.91;-8370.94;1017.63;1528.1;-19592.59;1058.75;-31951.12;610.79;757.83;103.22;-1027.51
30.07.2007;1264.39;1702.41;2161.77;1827.46;983.5;963.82;1194.75;-425.25;1724.42;1753.17;1717.23;1981.84;782.81;-3613.87;100.69;98.98
06.08.2007;1297.7;1669.32;-4646.24;1347.55;-2635.08;792.36;1333.59;1344.17;1865.67;1939.56;1218.41;-12772.21;987.12;1080.31;101.82;99.95
13.08.2007;1509.65;-9812.1;-32596.85;1256.04;-883.08;793.29;1258.58;1274.65;1921.07;-5884.84;977.23;-28171.62;1135.02;1143.38;82.26;-373.91
20.08.2007;2158.33;2988.21;2481.15;-10537.3;988.98;-3230.05;1468.58;1450.03;-9310.11;2134.25;-7733.55;2136.06;991.12;982.7;142.19;142.64
27.08.2007;1551.88;2142.83;1985.94;1419.76;927.8;856.31;1434.4;1422.73;1551.47;1778.31;189.06;-8054.16;922.95;1015.35;98.2;97.28
03.09.2007;1595;2397.96;2396.1;1586.98;965.9;-2657.38;1446.08;1420.92;1704.5;2143.51;804.68;1386.56;1016.7;-6208.31;-1528.43;108.42
10.09.2007;1588.87;2425.12;2111.29;-970.11;964.17;972.2;1439.46;-8903.13;1635.55;-4034.46;-243.17;2147.4;1179.57;1210.47;180.57;182.14
17.09.2007;1650.05;2099.33;1580.78;-24892.81;885.43;-6058.26;1487.4;-11997.23;-4566.67;2570.9;-26575.04;1242.74;1275.74;1367.2;171.63;172.58
24.09.2007;715.64;1513.24;2009.56;-9031.25;875.39;969.19;1344.04;1326.59;-1665.67;2069.33;-4219.8;1312.76;1019.05;1133.45;193.49;180.5
01.10.2007;-3397.31;1695.28;1956.78;1546.11;-315.81;1066.8;1265.4;1248.16;1880.9;2329.11;1123.32;1764.8;-3245.68;1140;182.98;168.93
08.10.2007;1202.7;1499.79;2055.37;1526.79;1003.84;-2703.37;1341.84;-1037.63;1719.52;2162.38;831.78;1456.79;1073.68;1161.75;-516.49;157.17
15.10.2007;857.73;-17143.26;-3360.14;1275.56;982.91;911.94;1448.94;1474.49;1678.55;2120.7;1269.04;-4563.23;966.22;953.86;172.31;156.39
22.10.2007;1676.99;2314.35;2502.64;-18258.28;1005.63;-3853.69;1651.26;-3087.44;-5136.13;2366.45;-5390.12;2121.2;1345.37;1385.85;-1500.57;155.42
29.10.2007;1577.96;2014.21;2271.01;1844.99;1307.26;1239.17;1539.33;-6547.61;2357.54;2561.07;1909.51;2195.89;1377.88;1416.45;264.4;249.58
05.11.2007;1308.06;-28096.24;-18645.34;1845.6;1132.44;1047.68;-11087.27;1595.45;2209.91;2392.18;1780.58;-3894.93;1178.51;-10715.98;259.27;244.34
12.11.2007;2337.83;3176.39;2634.1;2066.09;1674.36;1538.55;2023.64;1787.72;3031.59;3276.48;752.71;1104.13;1453.42;1559.13;311.5;298.28
19.11.2007;1369.45;2114.09;2391.16;1933.03;1259.54;-456.33;1930.28;1766.57;2429.62;2729.37;1563.39;1875.3;1370.32;1445.88;-2048.4;245.12
26.11.2007;-10163.71;2255.07;2797.35;2304.15;-1893.45;1164.45;2103.1;1940.16;2552.16;2821.99;74.92;2190.16;-14368.6;1422.86;327.55;-1428.3
03.12.2007;1879.77;2235.28;2050.26;1660.14;1459.72;1266.36;2427.59;2267.38;2504.68;3061.8;-1551.86;1572.27;1517.76;1577.41;268.87;246.45
10.12.2007;-103.04;1726.5;-12599.91;1651.85;-10165.24;1193.01;1589.67;1510.21;2005.25;-1195.33;1327.2;-13636.16;-10679.87;1359.2;268.19;248.82
17.12.2007;488.8;1715.32;2134.13;1784.84;1567.37;1346.66;2031.19;706.11;2660.45;-12377.69;705;1454.86;1769.9;1765.01;235.51;216.76
24.12.2007;1015.69;-10516.76;2066.36;1777.17;1488.32;-8306.04;1637.53;1639.65;-1397.85;2824.35;1482.9;1687.38;1559.23;-11490.93;-65.46;224.41
31.12.2007;1024.63;-8555.86;1807.47;1623.12;1303.01;1126.21;1567.59;1583.31;2214.4;2700.1;1324.06;1499.75;1425.58;-4123.2;283.9;268.24
07.01.2008;1489.96;2045.7;1975.44;-13920.93;1456.6;-270.73;2059.88;2004.27;2390.85;2847.79;-7512.25;1419.82;1452.32;-6715.38;-1680.86;294.63
14.01.2008;1543.08;2267.51;-24347.02;1567.2;-12786.93;1261.64;1808.59;1735.73;2229.52;2551.16;1032.56;-28350.65;1403.76;1480.84;359.61;-347.4
21.01.2008;1373.09;1999.07;2119.67;-6528.29;1538.78;-8388.89;1769.61;-10779.55;-18443.35;2817.45;-13725.11;1791.52;1630.21;515.35;-2758.72;215.58
28.01.2008;1802.66;2257.25;1928.11;-4866.83;1512.51;1341.92;1614.14;1595.47;2344.7;2657.47;-4032.09;1873.03;1503.63;1607.49;383.6;-99.8
04.02.2008;1405.74;1715.67;2078.17;1782.54;-8889.02;1091.05;1718.79;1700.34;2105.99;-3249.69;1437.07;1642.47;1300.06;1588.96;345.08;343.77
11.02.2008;1717.56;1956.14;1972.14;1696.89;1449.91;1256.15;1717.56;1683.86;2418.41;2735.48;1360.04;1549.26;1573.4;1748.35;368.89;355
18.02.2008;1464.64;1666.22;1873.31;1616.43;1388.84;-113.04;1738.24;1678.7;2050.67;2350.75;-499.51;1744.81;1323.75;-1631.47;-1272.45;323.63
25.02.2008;1469.76;-34218.38;1991.89;1739.99;1265.89;-18884.99;1640.23;1626.34;-5962.09;1992.13;1471.28;1647.39;1269.33;-41004.28;-1245.74;340.36
03.03.2008;1919.43;2463.03;748.81;1818.37;1545.3;1428.25;1876.78;1802.41;-10291.53;2488.47;1862.05;2117.06;1711.33;-1213.3;390.82;361.59
10.03.2008;1971.13;-23454.67;2087.52;1784.92;1531.91;-11037.78;1909.26;1891.15;2223.34;2436.19;1458.56;1697.46;1880.84;-10917.95;405.85;381.89
17.03.2008;-5566.67;3335;2405.96;2099.36;-144.06;2014.98;-6052.61;2114.28;2606.48;2856.61;1702.93;1927.44;-8213.24;2545.26;433.26;-4854.66
24.03.2008;2253.77;2801.5;2088.92;1806.79;1914.12;-8795.46;1925.67;1825.32;2659.15;2901.26;1158.61;1193.75;2075.91;-3810.44;0.01;0
31.03.2008;-6855.05;2993.22;2183.91;2022.93;1874.69;1731.98;1760.43;-128.06;2473.05;2796.68;1808.45;1911.27;-1739.7;2375.9;393.55;334.8
07.04.2008;1828.85;2257.45;1691.19;1534.07;1560.58;1396.68;1619.29;1581.79;2062.16;2396.07;1384.46;1487.96;1795.63;1967.56;378.84;332.45
14.04.2008;-3823.97;2672.42;1876.88;-1191.26;1592.56;1481.06;1609.18;-1366.99;2017.95;2329.78;1289.18;1477.84;1938.47;2072.87;346.05;327.57
21.04.2008;1897.27;2206.9;1500.16;1386.99;-4328.01;1497.81;1682.92;1664.96;2178.38;2589.86;1106.15;1207.27;-8301.1;2051.64;325.41;196.04
28.04.2008;1714.35;1988.43;1531.53;1376.49;1556.13;1407.9;1705.37;1642.48;2199.24;1039.38;1164.85;1309.22;-2759.43;1964.34;281.9;202.82
05.05.2008;1274.94;1513.71;1472.9;1320.27;1397.06;1243.88;1494.91;1456.76;1998.98;2268.06;1038.4;-5296.87;1614.73;1767.16;252.51;244.47
12.05.2008;1724.03;2106.83;1559.34;1363.48;1512.1;1374.19;1563.87;264.81;2069.73;2357.94;1288.86;1454.72;1653.75;1829.72;181.46;229.32
19.05.2008;1479.61;1789.68;1500.36;1284.62;1324.4;-5274.67;1424.26;1413.7;-13214.92;2137.05;-5032.9;1268.24;1464.65;-12451.02;278.76;265.82
26.05.2008;1630.89;1987.3;1402.18;1279.36;-3980.87;1227.68;1296.99;1321.88;1909.45;2052.62;1087.34;1184.73;-3701.31;1696.8;271.14;-1632.46
02.06.2008;-1228.63;1909.05;1436.52;1290.49;1298.07;1233.22;-7839.43;1433.65;2083.23;2297.64;1097.6;-9283.41;1466.79;1684.45;238.43;231.61
09.06.2008;-2175.17;1986.94;1513.33;1357.9;1554.35;1523.68;1415.38;1360.97;2038.78;2227.03;1256.2;1441.23;1817.28;2121.52;262.74;256.15
16.06.2008;1462.44;1676.3;1365.06;601.32;1562.8;1416.12;1304.76;1250.81;1989.99;2274.46;1056.72;1228.29;1725.64;1901.05;272.74;269.3
23.06.2008;1317.16;-3440.9;1317.54;1180.25;1383.41;-4410.55;1297.15;1286.77;-10384.23;2114.82;933.03;1064.83;1600.52;-10192.2;-1985.79;262.75
30.06.2008;-185.62;1998.56;1327.12;1198.86;1342.74;1280.92;1198.27;1195.43;1981.82;-2242.51;919.43;1108.63;1617.14;1855.55;288.91;277.31
07.07.2008;1249.24;1642.65;1220.13;-4009.11;1232.84;1169.01;1338.91;419.24;1906.37;2124.21;896.49;1051.29;1443.84;1680.61;-892.1;257.58
14.07.2008;1418.78;1865.3;1252.43;1146.24;1411.03;1393.52;1261.92;1249.27;1902.19;2042.5;970.1;1097.56;1681.54;1898.88;270.62;255.54
21.07.2008;845.57;1801.2;-8244.85;1110.61;-552.82;1126.96;-9995.04;1098.71;1713.52;1804.79;1048.43;-5668.33;-3459.64;1648.03;261.4;-1206.15
28.07.2008;1245.51;1639.22;-12519.74;1060.51;1077.08;1099.93;1099.8;1086.77;1812.8;-5237.68;865.4;-1780.25;643.98;1611.46;269.67;21.52
04.08.2008;-3581.61;1526.81;-29212.75;1235.51;-26380.96;1063.22;-16343.87;1161.78;1774.14;-23124.47;955.85;-14979.55;-16726.21;1510.3;230.2;-1422.43
11.08.2008;1201.11;1473.07;2024.83;1670.25;1821.78;1608.89;1348.59;1229.26;2511.54;-18045.59;-3809.46;1435.5;1697.08;1825.7;247.09;-159.45
18.08.2008;1218.34;1545.7;2048.25;1771.23;1566.84;1373.96;1361.52;-5001.69;2277.5;2679.63;1391.91;1555.26;1467.26;1520.59;311.21;323.17
25.08.2008;1174.02;1532.1;1957.15;1775.23;1536.28;1419.52;-2321.11;1221.49;2346.41;-25198.24;1239.84;1351.79;1535.04;1642.05;313.67;322.9
01.09.2008;1570.32;1989.38;-16791.44;2077.52;-13330.35;1525.14;1412.2;1332.9;2679.6;-10236.77;1373.08;-8105.04;-8470.97;1819.86;277.84;277.23
08.09.2008;1886.8;-3430.78;3068.18;2584.84;2405.09;2095.11;1601.06;1510.13;-17.95;3781.89;1829.01;2086.73;2181.26;2320.83;300.85;309.66
15.09.2008;2912.89;3456.91;3898.84;-7979.67;2898.16;-1915.41;2049.84;-10743.75;-5945.06;4461.5;-11592.17;2543.43;2668.48;2807.34;-4962.13;433.82
22.09.2008;2538.84;2996.76;-472.54;3566.45;-2817.28;2620.13;1981.81;1978.61;4252.82;-10822.79;2440.32;2730.25;1948.36;2875.88;616.45;623.61
29.09.2008;2783.06;3410.24;-50103.83;3380.2;-33848.32;2988.21;-28970.04;2044.22;4616.09;-12311.33;2219.17;-8083.28;-18331.99;3218.68;541.3;561.24
06.10.2008;3870.02;4689.17;-17978.98;5019.66;3861.27;3309.89;-33046.78;2388.24;5328.94;5947.7;3173.31;1531.33;3478.8;3499.21;605.88;663.8
13.10.2008;3881.25;4967.18;10177.98;7479.78;3957.46;3467.77;-2934.78;3366.11;5580.22;6441.54;4200.73;5073.85;3488.19;3543.85;645.82;688.36
20.10.2008;2507.62;-58885.54;-75284.87;5346.79;-42010.03;2628.13;-40906.81;3001.56;4279.67;-127350.85;2667.18;-50514.47;2403.09;2451.61;488.79;-2153.87
27.10.2008;-6125.87;7729.62;9571.1;-43466.37;5886.93;4650.6;5095.92;-45283.26;6994.45;8440.56;-10456.47;4376.81;3520.79;3496.64;444.94;516.26
03.11.2008;4098.64;5379.71;7760.73;5551.92;5066.58;4232.11;4372.11;3933.06;6965.43;8130.08;2740.38;3534.93;3081.92;3116.5;414.83;460.11
10.11.2008;2960.55;4331.51;6639.12;4725.42;3850.56;3299.11;3700.77;3475.75;5442.5;-609.5;2434.84;3163.76;2190.43;2179.32;274.59;291.92
17.11.2008;3775.84;5299.96;7724.5;5396.01;4069.48;3452.02;4533.45;4106.51;6311.29;7529.71;2908.63;3769.98;2095.38;2126.95;-2882.18;383.02
24.11.2008;2775.36;148.73;6676.84;4759.26;3440.29;2942.04;3625.62;3175.56;5018.27;5982.09;2370.45;3072.51;2563.61;2534.58;467.99;497.51
01.12.2008;2999.26;4334.83;5609.19;3987.91;4097.11;3530.31;4431.03;4094.02;5036.87;5903.72;1897.99;2577.96;2928.02;2937.71;341.85;346.23
08.12.2008;2031.24;3178.65;4568.18;3156.8;2909.35;-21254.84;3720.6;3380.76;4232.2;5235.1;1583.16;2191.59;2073.76;-13914.57;-840.79;319.35
15.12.2008;2750.74;3830.98;4555.78;3248.08;3503.09;3221.62;4357.89;4160.54;4647.21;-2923.63;-4519.92;2219.88;2567.22;-32665.77;322.7;310.96
22.12.2008;1457.24;2520.4;3846.42;3112.22;2896.13;2695.66;3607.58;3529.39;4233.82;4767.94;1669.71;1908.25;2908.35;-15501.24;325.19;304.97
29.12.2008;-7060.27;2667.96;3446.3;-13582.24;3428.25;3211.5;2677.02;2592.42;3890.18;4435.39;708.84;1689.52;-8399.19;3201.34;401.31;379.4
05.01.2009;2301.55;-12851.18;-3778.87;3838.34;4142.17;3746.86;3231.76;3204.49;4554.58;5172.87;2107.15;2361.07;3657.3;3928.85;331.1;305.87
12.01.2009;2165.51;2836.85;4152.18;3397.46;3399.72;3075.42;148.16;3158.85;4403.5;4850.31;1930.84;-12675.29;3151.24;3336.86;265.03;255.32
19.01.2009;2019.96;2710.43;4299.8;3483.89;3267.07;2997.84;3180.08;451.59;4164.75;-8147.5;2077.37;2441.01;2585.22;2739.81;-3246.64;244
26.01.2009;2665.8;3491.95;-6585.67;3390.24;-774.44;2979.68;3081.87;2985.56;4732.72;5701.91;2142.67;-4705.38;1937.05;2638.08;333.81;330.73
02.02.2009;2627.17;3165.79;4425.33;-37337.03;3141.21;2875.53;3059.83;2950.45;-24015.13;5197.54;-15796.71;2547.3;2368.02;2460.58;320.33;314.96
